functions                                                uri                                                                                            times  
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      1      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                       2      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                       1      
_LinkedHashMapMixin.[]=                                  third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:515:5                       1      
_LinkedHashMapMixin.[]=                                  third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:515:5                       1      
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                      43     
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
_OperatorEqualsAndHashCode._equals                       third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:255:46                      2      
stub InvokeDartCode                                      ??:0:0                                                                                         82     
_dispatchPointerDataPacket                               lib/ui/hooks.dart:260:1                                                                        75     
_dispatchPointerDataPacket                               lib/ui/hooks.dart:260:1                                                                        75     
PlatformDispatcher._dispatchPointerDataPacket            lib/ui/platform_dispatcher.dart:440:3                                                          75     
_invoke1                                                 lib/ui/hooks.dart:330:10                                                                       76     
GestureBinding._handlePointerDataPacket                  /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:293:3             75     
GestureBinding._handlePointerDataPacket                  /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:306:18            75     
GestureBinding._flushPointerEventQueue                   /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:326:3             75     
GestureBinding._handlePointerEventImmediately            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:386:3             75     
RendererBinding.dispatchEvent                            /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/binding.dart:441:3            75     
ListIterator.moveNext                                    third_party/dart/sdk/lib/internal/iterable.dart:348:13                                         75     
ListIterator.moveNext                                    third_party/dart/sdk/lib/internal/iterable.dart:348:13                                         75     
GestureBinding.handleEvent                               /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/binding.dart:493:3             75     
GestureArenaManager.sweep                                /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/arena.dart:170:26              75     
BaseTapGestureRecognizer.acceptGesture                   /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/tap.dart:273:3                 75     
BaseTapGestureRecognizer._checkUp                        /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/tap.dart:310:5                 75     
TapGestureRecognizer.handleTapUp                         /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/tap.dart:0:0                   75     
GestureRecognizer.invokeCallback                         /Users/littlegnal/dev/flutter/packages/flutter/lib/src/gestures/recognizer.dart:358:18         75     
_InkResponseState.handleTap                              /Users/littlegnal/dev/flutter/packages/flutter/lib/src/material/ink_well.dart:1162:3           75     
_InkResponseState.handleTap                              /Users/littlegnal/dev/flutter/packages/flutter/lib/src/material/ink_well.dart:1162:3           75     
_MyHomePageState._incrementCounter                       /Users/littlegnal/codes/personal-project/glance_plugin/glance/example/lib/main.dart:116:3      75     
jsonEncode                                               third_party/dart/sdk/lib/convert/json.dart:114:10                                              68     
jsonEncode                                               third_party/dart/sdk/lib/convert/json.dart:114:10                                              68     
_LinkedHashMapMixin._set                                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:522:9                       4      
??                                                       ??:0:0                                                                                         1      
??                                                       ??:0:0                                                                                         1      
??                                                       ??:0:0                                                                                         563    

